Created as New Dataset,Sample 003 By Administrator Date Monday, June 09 2025
cm-1,A
4000.00,0.0054
3999.00,0.0054
3998.00,0.0054
3997.00,0.0054
3996.00,0.0054
3995.00,0.0054
3994.00,0.0054
3993.00,0.0053
3992.00,0.0053
3991.00,0.0054
3990.00,0.0054
3989.00,0.0054
3988.00,0.0054
3987.00,0.0054
3986.00,0.0054
3985.00,0.0054
3984.00,0.0054
3983.00,0.0054
3982.00,0.0054
3981.00,0.0054
3980.00,0.0054
3979.00,0.0054
3978.00,0.0054
3977.00,0.0054
3976.00,0.0054
3975.00,0.0054
3974.00,0.0054
3973.00,0.0055
3972.00,0.0055
3971.00,0.0055
3970.00,0.0056
3969.00,0.0055
3968.00,0.0055
3967.00,0.0055
3966.00,0.0054
3965.00,0.0054
3964.00,0.0054
3963.00,0.0054
3962.00,0.0054
3961.00,0.0054
3960.00,0.0055
3959.00,0.0055
3958.00,0.0055
3957.00,0.0055
3956.00,0.0055
3955.00,0.0055
3954.00,0.0055
3953.00,0.0055
3952.00,0.0055
3951.00,0.0055
3950.00,0.0055
3949.00,0.0055
3948.00,0.0055
3947.00,0.0055
3946.00,0.0055
3945.00,0.0055
3944.00,0.0055
3943.00,0.0055
3942.00,0.0055
3941.00,0.0055
3940.00,0.0055
3939.00,0.0055
3938.00,0.0055
3937.00,0.0055
3936.00,0.0055
3935.00,0.0056
3934.00,0.0056
3933.00,0.0056
3932.00,0.0056
3931.00,0.0056
3930.00,0.0056
3929.00,0.0055
3928.00,0.0055
3927.00,0.0055
3926.00,0.0056
3925.00,0.0056
3924.00,0.0056
3923.00,0.0056
3922.00,0.0056
3921.00,0.0056
3920.00,0.0056
3919.00,0.0056
3918.00,0.0056
3917.00,0.0056
3916.00,0.0055
3915.00,0.0055
3914.00,0.0054
3913.00,0.0054
3912.00,0.0054
3911.00,0.0054
3910.00,0.0054
3909.00,0.0054
3908.00,0.0055
3907.00,0.0056
3906.00,0.0057
3905.00,0.0058
3904.00,0.0058
3903.00,0.0059
3902.00,0.0058
3901.00,0.0058
3900.00,0.0057
3899.00,0.0056
3898.00,0.0056
3897.00,0.0055
3896.00,0.0055
3895.00,0.0056
3894.00,0.0056
3893.00,0.0056
3892.00,0.0056
3891.00,0.0055
3890.00,0.0055
3889.00,0.0055
3888.00,0.0056
3887.00,0.0056
3886.00,0.0057
3885.00,0.0057
3884.00,0.0057
3883.00,0.0057
3882.00,0.0057
3881.00,0.0056
3880.00,0.0056
3879.00,0.0055
3878.00,0.0055
3877.00,0.0056
3876.00,0.0056
3875.00,0.0056
3874.00,0.0055
3873.00,0.0055
3872.00,0.0056
3871.00,0.0056
3870.00,0.0057
3869.00,0.0057
3868.00,0.0056
3867.00,0.0056
3866.00,0.0056
3865.00,0.0056
3864.00,0.0056
3863.00,0.0056
3862.00,0.0056
3861.00,0.0055
3860.00,0.0055
3859.00,0.0055
3858.00,0.0054
3857.00,0.0054
3856.00,0.0054
3855.00,0.0055
3854.00,0.0056
3853.00,0.0057
3852.00,0.0057
3851.00,0.0057
3850.00,0.0057
3849.00,0.0056
3848.00,0.0056
3847.00,0.0056
3846.00,0.0056
3845.00,0.0056
3844.00,0.0056
3843.00,0.0056
3842.00,0.0057
3841.00,0.0057
3840.00,0.0058
3839.00,0.0058
3838.00,0.0058
3837.00,0.0058
3836.00,0.0057
3835.00,0.0057
3834.00,0.0057
3833.00,0.0056
3832.00,0.0056
3831.00,0.0056
3830.00,0.0055
3829.00,0.0055
3828.00,0.0055
3827.00,0.0055
3826.00,0.0055
3825.00,0.0055
3824.00,0.0056
3823.00,0.0057
3822.00,0.0057
3821.00,0.0057
3820.00,0.0057
3819.00,0.0057
3818.00,0.0057
3817.00,0.0057
3816.00,0.0056
3815.00,0.0056
3814.00,0.0055
3813.00,0.0055
3812.00,0.0055
3811.00,0.0055
3810.00,0.0055
3809.00,0.0055
3808.00,0.0055
3807.00,0.0055
3806.00,0.0055
3805.00,0.0056
3804.00,0.0057
3803.00,0.0057
3802.00,0.0057
3801.00,0.0057
3800.00,0.0057
3799.00,0.0057
3798.00,0.0058
3797.00,0.0057
3796.00,0.0057
3795.00,0.0056
3794.00,0.0056
3793.00,0.0056
3792.00,0.0056
3791.00,0.0056
3790.00,0.0056
3789.00,0.0056
3788.00,0.0056
3787.00,0.0056
3786.00,0.0056
3785.00,0.0056
3784.00,0.0056
3783.00,0.0056
3782.00,0.0056
3781.00,0.0056
3780.00,0.0057
3779.00,0.0057
3778.00,0.0057
3777.00,0.0057
3776.00,0.0056
3775.00,0.0056
3774.00,0.0056
3773.00,0.0056
3772.00,0.0057
3771.00,0.0057
3770.00,0.0057
3769.00,0.0058
3768.00,0.0058
3767.00,0.0058
3766.00,0.0058
3765.00,0.0059
3764.00,0.0059
3763.00,0.0059
3762.00,0.0060
3761.00,0.0060
3760.00,0.0060
3759.00,0.0060
3758.00,0.0060
3757.00,0.0060
3756.00,0.0061
3755.00,0.0061
3754.00,0.0061
3753.00,0.0061
3752.00,0.0061
3751.00,0.0061
3750.00,0.0062
3749.00,0.0062
3748.00,0.0063
3747.00,0.0063
3746.00,0.0064
3745.00,0.0064
3744.00,0.0064
3743.00,0.0064
3742.00,0.0065
3741.00,0.0065
3740.00,0.0065
3739.00,0.0065
3738.00,0.0065
3737.00,0.0065
3736.00,0.0065
3735.00,0.0065
3734.00,0.0065
3733.00,0.0065
3732.00,0.0064
3731.00,0.0064
3730.00,0.0064
3729.00,0.0064
3728.00,0.0064
3727.00,0.0064
3726.00,0.0064
3725.00,0.0064
3724.00,0.0065
3723.00,0.0065
3722.00,0.0066
3721.00,0.0066
3720.00,0.0066
3719.00,0.0066
3718.00,0.0066
3717.00,0.0067
3716.00,0.0067
3715.00,0.0067
3714.00,0.0068
3713.00,0.0069
3712.00,0.0069
3711.00,0.0070
3710.00,0.0071
3709.00,0.0071
3708.00,0.0071
3707.00,0.0071
3706.00,0.0071
3705.00,0.0072
3704.00,0.0073
3703.00,0.0073
3702.00,0.0074
3701.00,0.0074
3700.00,0.0074
