"ID","PE_mg_per_g_sample_mean","PE_mg_per_mL_mean","PE_pred_run2_mg_per_g_mean","PE_scaled_mean","PE_se_run2_mean","X455_mean","X564_mean","X592_mean","Xred_mean","total_PE_mg_mean","PE_mg_per_g_sample_sd","PE_mg_per_mL_sd","PE_pred_run2_mg_per_g_sd","PE_scaled_sd","PE_se_run2_sd","X455_sd","X564_sd","X592_sd","Xred_sd","total_PE_mg_sd","PE_mg_per_g_sample_se","PE_mg_per_mL_se","PE_pred_run2_mg_per_g_se","PE_scaled_se","PE_se_run2_se","X455_se","X564_se","X592_se","Xred_se","total_PE_mg_se","PE_mg_per_g_sample_cv","PE_mg_per_mL_cv","PE_pred_run2_mg_per_g_cv","PE_scaled_cv","PE_se_run2_cv","X455_cv","X564_cv","X592_cv","Xred_cv","total_PE_mg_cv","PE_mg_per_g_sample_max_dev_pct","PE_mg_per_mL_max_dev_pct","PE_pred_run2_mg_per_g_max_dev_pct","PE_scaled_max_dev_pct","PE_se_run2_max_dev_pct","X455_max_dev_pct","X564_max_dev_pct","X592_max_dev_pct","Xred_max_dev_pct","total_PE_mg_max_dev_pct","PE_mg_per_g_sample_n","PE_mg_per_mL_n","PE_pred_run2_mg_per_g_n","PE_scaled_n","PE_se_run2_n","X455_n","X564_n","X592_n","Xred_n","total_PE_mg_n","PE_mg_per_g_sample_included_rows","PE_mg_per_mL_included_rows","PE_pred_run2_mg_per_g_included_rows","PE_scaled_included_rows","PE_se_run2_included_rows","X455_included_rows","X564_included_rows","X592_included_rows","Xred_included_rows","total_PE_mg_included_rows","PE_mg_per_g_sample_excluded_rows","PE_mg_per_mL_excluded_rows","PE_pred_run2_mg_per_g_excluded_rows","PE_scaled_excluded_rows","PE_se_run2_excluded_rows","X455_excluded_rows","X564_excluded_rows","X592_excluded_rows","Xred_excluded_rows","total_PE_mg_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count"
"Lab_01",0.0340425831878114,0.000544,0.103016868599273,34.0425831878114,0.00148202622467874,0.0145555555555556,0.0122222222222222,0.0107777777777778,19038.3333333333,0.000816,0.00422713315498081,6.92820323027552e-05,0.0265321481597644,4.22713315498081,0.000246279513091513,0.00302459057529248,0.00101835015443463,0.00211695098702862,5034.16252551835,0.000103923048454133,0.00244053646492856,4.00000000000001e-05,0.015318342882219,2.44053646492856,0.000142189543179275,0.00174624818283352,0.00058794473579213,0.00122222222222222,2906.47508925235,6e-05,0.124171927014466,0.127356677027124,0.257551491522931,0.124171927014466,0.166177567569629,0.207796299065896,0.083319558090106,0.196418132817089,0.264422438528496,0.127356677027123,14.0870364025858,14.7058823529412,29.5947840462218,14.0870364025858,18.6189108504933,23.6641221374045,9.09090909090908,22.680412371134,30.3843123522717,14.7058823529412,3,3,3,3,3,3,3,3,3,3,"3,4,5","2,4,5","1,2,3","3,4,5","1,3,4","3,4,5","3,4,5","1,2,4","1,2,3","2,4,5","1,2","1,3","4,5","1,2","2,5","1,2","1,2","3,5","4,5","1,3","A02, A03, A04, A06",16.08,"2025-05-06",5
"Lab_02",0.01044447586727,2e-04,0.0110884555005425,10.44447586727,0.00145284196381725,0.00766666666666667,0.00266666666666667,-0.000666666666666663,1596,0.000299999999999999,0.00193909700743306,6.03986754821662e-05,0.00327168266209843,1.93909700743306,5.76615899518971e-05,0.000577350269189622,0.00115470053837925,0.001,620.763239891023,9.05980132232493e-05,0.00111953817922628,3.48711915483255e-05,0.00188890686566556,1.11953817922628,3.32909344806296e-05,0.000333333333333331,0.000666666666666667,0.000577350269189626,358.397823654107,5.23067873224882e-05,0.185657665552146,0.301993377410831,0.295053054227287,0.185657665552146,0.039688824653987,0.0753065568508203,0.43301270189222,-1.50000000000001,0.388949398427959,0.301993377410831,19.2156685771021,32.0000000000002,32.6060536760282,19.2156685771021,4.55125151555505,8.69565217391299,50,0,42.9824561403509,32.0000000000002,3,3,3,3,3,3,3,3,3,3,"1,2,4","2,3,4","1,3,4","1,2,4","2,3,4","2,3,4","2,3,4","2,3,4","1,3,4","2,3,4","3","1","2","3","1","1","1","1","2","1","A06, A07, A08, A09",20.725,"2025-05-06",4
"Lab_03",0.0287192614118269,0.000607999999999999,0.027057826476663,28.7192614118269,0.00111051907217776,0.0108888888888889,0.00822222222222222,0.00611111111111111,4626,0.000911999999999999,0.00199181518760388,0.000132181693134867,0.00294939661423783,1.99181518760388,1.95346294956255e-05,0.0022194427061598,0.000838870492807863,0.00083887049280786,559.613259313966,0.0001982725397023,0.00114997503473908,7.63151361133557e-05,0.00170283492917718,1.14997503473908,1.1278323597819e-05,0.00128139584385231,0.000484322104837854,0.000484322104837852,323.092865907002,0.000114472704170034,0.0693546800888003,0.217404100550768,0.109003456607339,0.0693546800888003,0.0175905394018291,0.203826370973859,0.102024789665821,0.137269717004922,0.120971305515341,0.217404100550768,7.34895556465741,25.0000000000001,11.024748862346,7.34895556465741,1.98568576600347,23.469387755102,10.8108108108108,14.5454545454545,12.2351923908344,25.0000000000001,3,3,3,3,3,3,3,3,3,3,"1,4,5","3,5,6","4,5,6","1,4,5","1,5,6","1,5,6","1,5,6","1,2,4","4,5,6","3,5,6","2,3,6","1,2,4","1,2,3","2,3,6","2,3,4","2,3,4","2,3,4","3,5,6","1,2,3","1,2,4","A08, A09, A10, A11, A12",17.45,"2025-05-06",6
"Lab_04",0.00791151762045843,0.00012,0.0356310421382106,7.91151762045843,0.00110888675689741,0.0178888888888889,0.0112222222222222,0.00555555555555556,6252.66666666667,0.00018,0.00427662817185525,8.65332306111354e-05,0.0167393611087434,4.27662817185525,0.000167765096282333,0.00419435246403931,0.00472973258973172,0.000693888666488713,3176.09655604696,0.000129799845916703,0.00246911242624456,4.9959983987187e-05,0.00966447464219536,2.46911242624456,9.68592234992286e-05,0.00242161052418926,0.00273071238387656,0.000400616808384889,1833.72020160595,7.49399759807805e-05,0.540557245400843,0.721110255092797,0.469797123637654,0.540557245400843,0.151291459870734,0.234466907927663,0.421461319877084,0.124899959967968,0.507958719913683,0.721110255092797,57.0723775383873,79.9999999999998,54.1768877135508,57.0723775383873,17.4695215926866,24.8447204968944,45.5445544554455,14,58.5776735259623,79.9999999999998,3,3,3,3,3,3,3,3,3,3,"1,3,4","1,3,4","1,2,3","1,3,4","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,3,4","2","2","4","2","4","4","4","4","4","2","A12, B01, B02, B03",21,"2025-05-06",4
"Lab_05",0.0162621629135391,9.60000000000002e-05,0.029366270201924,16.2621629135391,0.00107846971552712,0.0161111111111111,0.00644444444444444,0.00511111111111111,5064,0.000144,0.00160576091307225,2.4e-05,0.00549227021286944,1.60576091307225,2.24355269696698e-05,0.00192450089729875,0.00189541356769245,0.00117062819476142,1042.09356585673,3.6e-05,0.000927086495416441,1.3856406460551e-05,0.00317096368586234,0.927086495416441,1.29531575353499e-05,0.00111111111111111,0.0010943175335329,0.000675862503366471,601.653000768162,2.07846096908266e-05,0.0987421489754829,0.25,0.187026482256831,0.0987421489754829,0.0208031126388227,0.119451779832336,0.294115898435035,0.229035951148973,0.205784669402988,0.25,10.5564578169072,25,19.8675361447127,10.5564578169072,2.37938686841302,13.7931034482759,32.7586206896552,23.9130434782609,21.8601895734597,25,3,3,3,3,3,3,3,3,3,3,"1,3,4","1,2,3","1,2,3","1,3,4","1,3,6","1,3,5","1,3,4","1,3,5","1,2,3","1,2,3","2,5,6","4,5,6","4,5,6","2,5,6","2,4,5","2,4,6","2,5,6","2,4,6","4,5,6","4,5,6","B02, B03, B04, B05, B06",17.9,"2025-05-06",6
"Lab_06",0.07546065830721,0.001424,0.044104119829941,75.46065830721,0.00102309172209744,0.0498888888888889,0.0355555555555556,0.0212222222222222,7860.33333333333,0.002136,0.0234088026482666,0.000277128129211021,0.00645625380457904,23.4088026482666,8.53456472631516e-06,0.0233079226714707,0.0171992678569413,0.00983380413185578,1224.99809523661,0.000415692193816532,0.0135150785103836,0.00016,0.00372751987203025,13.5150785103836,4.92743324215434e-06,0.0134568354286246,0.00993000192706955,0.00567754946268499,707.252980041638,0.000240000000000001,0.310212012105254,0.194612450288638,0.146386637562962,0.310212012105254,0.00834193507969983,0.467196668247743,0.483729408476475,0.463372969563885,0.155845565739784,0.194612450288638,35.7181283610177,22.4719101123596,16.5825447550839,35.7181283610177,0.839222851505073,53.8975501113586,55,52.8795811518325,17.6540435096052,22.4719101123596,3,3,3,3,3,3,3,3,3,3,"1,3,4","2,3,4","2,3,4","1,3,4","2,3,4","1,3,4","1,3,4","1,3,4","2,3,4","2,3,4","2,5","1,5","1,5","2,5","1,5","2,5","2,5","2,5","1,5","1,5","B06, B07, B08, B09",19.32,"2025-05-06",5
"Lab_07",0.0843081192924312,0.000728,0.165764725931956,84.3081192924312,0.00113879307525829,0.0144444444444444,0.0162222222222222,0.00455555555555556,30944,0.001092,0.0212570039497656,0.000123158434546725,0.053749532284276,21.2570039497657,0.000137660462588698,0.000769800358919504,0.00183585684909537,0.000384900179459748,10198.3405022582,0.000184737651820087,0.0122727369525621,7.11055553385245e-05,0.0310323069331432,12.2727369525621,7.9478305132353e-05,0.000444444444444446,0.00105993244601883,0.000222222222222221,5888.01463426623,0.000106658333007787,0.252134718793021,0.169173673827919,0.324251929848689,0.252134718793021,0.120882771049055,0.0532938710021195,0.113169257820947,0.0844902832960423,0.329574085517651,0.169173673827919,29.1137717797869,18.6813186813186,34.8881901466403,29.1137717797869,13.816428067718,6.15384615384618,13.013698630137,9.75609756097555,35.4608324715615,18.6813186813186,3,3,3,3,3,3,3,3,3,3,"1,3,6","1,3,5","1,2,3","1,3,6","4,5,6","1,3,4","1,5,6","3,4,6","1,2,3","1,3,5","2,4,5","2,4,6","4,5,6","2,4,5","1,2,3","2,5,6","2,3,4","1,2,5","4,5,6","2,4,6","B08, B09, B10, B11, B12",18.1833333333333,"2025-05-06",6
"Lab_08",0.0441027387699265,0.000743999999999999,0.0447506246175331,44.1027387699265,0.00101256916991293,0.0132222222222222,0.0118888888888889,0.00422222222222222,7983,0.001116,0.00384541110643767,8.31384387633056e-05,0.00198228736738919,3.84541110643767,1.28744666346884e-06,0.00083887049280786,0.000509175077217312,0.000192450089729878,376.115673696271,0.000124707658144958,0.00222014913744657,4.79999999999997e-05,0.00114447414517334,2.22014913744656,7.43307677721019e-07,0.000484322104837852,0.000293972367896064,0.000111111111111113,217.15048545498,7.19999999999995e-05,0.0871921158116339,0.11174521339154,0.0442963061260275,0.0871921158116338,0.0012714653988325,0.0634439868510146,0.0428278102332319,0.045580284409708,0.0471145776896244,0.11174521339154,10.0430710330211,12.9032258064515,4.8169194938086,10.043071033021,0.138145288258155,6.72268907563025,4.67289719626165,5.26315789473691,5.12338719779532,12.9032258064515,3,3,3,3,3,3,3,3,3,3,"4,5,6","4,5,6","1,3,4","4,5,6","1,3,4","3,4,6","2,5,6","3,5,6","1,3,4","4,5,6","1,2,3","1,2,3","2,5,6","1,2,3","2,5,6","1,2,5","1,3,4","1,2,4","2,5,6","1,2,3","B11, B12, C01, C02, C03",17.6833333333333,"2025-05-06",6
"Lab_09",0.112017687205614,0.00076,0.027133369155648,112.017687205614,0.00113741460870835,0.0221111111111111,0.0167777777777778,0.0184444444444444,4640.33333333333,0.00114,0.0184086754373904,0.000132181693134866,0.00571247423776854,18.4086754373904,7.00405717631931e-05,0.00101835015443463,0.00384900179459751,0.00618540695987413,1083.87468525348,0.0001982725397023,0.0106282537192018,7.63151361133556e-05,0.00329809853891447,10.6282537192018,4.04379429616748e-05,0.000587944735792132,0.00222222222222223,0.00357114637333071,625.775341298918,0.000114472704170033,0.164337221171157,0.173923280440614,0.210533170613627,0.164337221171157,0.0615787516943634,0.0460560371352346,0.229410702989256,0.335353389390766,0.233576902216827,0.173923280440614,17.2690763052208,17.8947368421052,23.457867947,17.2690763052208,6.74142904871272,5.02512562814072,26.4900662251656,34.9397590361446,26.0254292076719,17.8947368421052,3,3,3,3,3,3,3,3,3,3,"1,2,3","1,2,3","4,5,6","1,2,3","4,5,6","1,3,5","1,3,5","2,3,6","4,5,6","1,2,3","4,5,6","4,5,6","1,2,3","4,5,6","1,2,3","2,4,6","2,4,6","1,4,5","1,2,3","4,5,6","C02, C03, C04, C05, C06",17.5166666666667,"2025-05-06",6
"Lab_10",0.0447800453514739,0.000727999999999999,0.0570394860012474,44.7800453514739,0.00108559597480512,0.0157777777777778,0.025,0.0123333333333333,10314.6666666667,0.001092,0.00447239119480485,9.99199679743745e-05,0.00639901274962492,4.47239119480485,6.45335250650551e-05,0.00367171369819074,0.00288675134594813,0,1214.13727944303,0.000149879951961562,0.00258213626024189,5.76888204074239e-05,0.00369447173354379,2.58213626024189,3.7258448068065e-05,0.00211986489203766,0.00166666666666667,0,700.982485119596,8.65332306111359e-05,0.0998746463899603,0.137252703261504,0.112185666425623,0.0998746463899603,0.0594452508693574,0.232714248476878,0.115470053837925,0,0.11770979312077,0.137252703261504,11.4036864492608,15.3846153846154,11.4883366939509,11.4036864492608,6.44008727898683,23.943661971831,13.3333333333333,0,12.0540330920372,15.3846153846154,3,3,3,3,3,3,3,3,3,3,"2,5,6","1,5,6","3,5,6","2,5,6","3,5,6","2,3,4","4,5,6","4,5,6","3,5,6","1,5,6","1,3,4","2,3,4","1,2,4","1,3,4","1,2,4","1,5,6","1,2,3","1,2,3","1,2,4","2,3,4","C05, C06, C07, C08, C09",17.95,"2025-05-06",6
